,Unnamed: 0,REGULATORY REPORTING STATEMENT,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,Queensland Electricity Transmission Corporation Limited trading as Powerlink Queensland,,,,,,,,
1,,CATEGORY ANALYSIS 2020-21,,,,,,,,
2,,2.8 MAINTENANCE,,,,,,,,
3,,,,,,,,,,
4,,There are TWO tables on this worksheet. Each has been 'grouped' for easy navigation. See the Instructions sheet on how to group or ungroup data.,,,,,,,,
5,,,,,,,,,,
6,,2.8.1 - DESCRIPTOR METRICS FOR ROUTINE AND NON-ROUTINE MAINTENANCE,,,,,,,,
7,,,,,,ASSET QUANTITY,,AVERAGE AGE OF ASSET GROUP ,"INSPECTION CYCLE 
(YEARS)","MAINTENANCE CYCLE 
(YEARS)"
8,,MAINTENANCE ACTIVITY,MAINTENANCE ASSET CATEGORY,"MEASURE 
/ ASSET QUANTITY",UNITS,AT YEAR END,INSPECTED/ MAINTAINED,,,
9,,,,,,2020-21,2020-21,2020-21,,
10,,Transmission lines maintenance,Transmission towers,Number of towers,0's,23550,23550,32.12,1,
11,,,Transmission tower support structures,Number of towers,0's,23550,23550,32.12,1,
12,,,Conductors,Route length,km,9629,9629,30,1,
13,,,Transmission cables,Route length,km,20.24,20.24,23.07,1,
14,,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays,0's,1482,1482,18.09,0.5,6
15,,,Substation power transformers,Number of transformers,0's,201,201,20.18,0.5,6
16,,,Substation property,Number of substation properties maintained,0's,128,128,29.83,0.5,
17,,SCADA & network control maintenance,SCADA & network control maintenance,Comms and SCADA equipment,,6212,6212,11.48,1,
18,,Protection systems maintenance,Protection systems maintenance,Protection relays,,5030,5030,11.12,6,
19,,Other maintenance activity ,Tramsission tower support structures,Insulator Strings (000's),,168.5,1457,17.76,5.782,
20,,,Corridor maintenance (Non vegetation),Length (Route km),km,9636,1363,32.12,1,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,2.8.2 - COST METRICS FOR ROUTINE AND NON-ROUTINE MAINTENANCE,,,,,,,,
45,,,,,,"DIRECT EXPENDITURE
($0's)",,,,
46,,ASSET CATEGORIES,ASSET SUBCATEGORIES,,, ROUTINE MAINTENANCE,NON-ROUTINE MAINTENANCE,,,
47,,,,,,2020-21,2020-21,,,
48,,Transmission lines maintenance,Transmission towers,,,2840936.0000000144,7773311.210980312,,,
49,,,Transmission tower support structures,,,53017.60000000001,28950166.339016367,,,
50,,,Conductors,,,0,723780.315138938,,,
51,,,Transmission cables,,,220444.88000000032,8548250.232597137,,,
52,,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),,,4583217.587999981,14741764.16341809,,,
53,,,Substation power transformers,,,1544174.4169999992,3412554.1396866273,,,
54,,,Substation property,,,1485737.9250000007,4014437.6353559974,,,
55,,SCADA & network control maintenance,SCADA & network control maintenance,,,1119461.8300000003,5362255.67163142,,,
56,,Protection systems maintenance,Protection systems maintenance,,,979355.0199999982,2260944.2122846562,,,
57,,Other maintenance activity ,Tramsission tower support structures,Insulator Strings (000's),,,,,,
58,,,Corridor maintenance (Non vegetation),Length (Route km),km,5554.47,397031.896290448,,,
