maintenance_category_key,maintenance_activity_id,maintenance_activity,maintenance_asset_id,maintenance_asset,appears_in_descriptor,appears_in_cost,maintenance_category_sort_order
other_maintenance_activity::bushfire_remediation,other_maintenance_activity,Other maintenance activity,bushfire_remediation,Bushfire Remediation,True,True,1
other_maintenance_activity::communications,other_maintenance_activity,Other maintenance activity,communications,Communications,True,True,2
other_maintenance_activity::corridor_maintenance_non_vegetation,other_maintenance_activity,Other maintenance activity,corridor_maintenance_non_vegetation,Corridor maintenance (non-vegetation),True,True,3
other_maintenance_activity::metering,other_maintenance_activity,Other maintenance activity,metering,Metering,True,True,4
other_maintenance_activity::metering_systems,other_maintenance_activity,Other maintenance activity,metering_systems,Metering Systems,True,True,5
other_maintenance_activity::right_of_way_maintenance,other_maintenance_activity,Other maintenance activity,right_of_way_maintenance,Right of way (ROW) maintenance,True,True,6
other_maintenance_activity::telecomms_systems,other_maintenance_activity,Other maintenance activity,telecomms_systems,Telecomms Systems,True,False,7
other_maintenance_activity::telecommunications_systems,other_maintenance_activity,Other maintenance activity,telecommunications_systems,Telecommunications Systems,False,True,8
other_maintenance_activity::transmission_lines_maintenance_access_tracks,other_maintenance_activity,Other maintenance activity,transmission_lines_maintenance_access_tracks,Transmission lines maintenance access tracks,False,True,9
other_maintenance_activity::transmission_tower_support_structures,other_maintenance_activity,Other maintenance activity,transmission_tower_support_structures,Transmission tower support structures,True,True,10
protection_systems_maintenance::protection_systems,protection_systems_maintenance,Protection systems maintenance,protection_systems,Protection systems maintenance,True,True,11
right_of_way_maintenance::row_maintenance,right_of_way_maintenance,Right of way (ROW) maintenance,row_maintenance,ROW Maintenance,True,False,12
scada_network_control_maintenance::scada_network_control,scada_network_control_maintenance,SCADA & network control maintenance,scada_network_control,SCADA & network control maintenance,True,True,13
substations_equipment_property_maintenance::substation_power_transformers,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_power_transformers,Substation power transformers,True,True,14
substations_equipment_property_maintenance::substation_property,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_property,Substation property,True,True,15
substations_equipment_property_maintenance::substation_switchbays,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_switchbays,Substation switchbays (incl. Reactive plant),True,True,16
transmission_lines_maintenance::conductors,transmission_lines_maintenance,Transmission lines maintenance,conductors,Conductors,True,True,17
transmission_lines_maintenance::transmission_cables,transmission_lines_maintenance,Transmission lines maintenance,transmission_cables,Transmission cables,True,True,18
transmission_lines_maintenance::transmission_tower_support_structures,transmission_lines_maintenance,Transmission lines maintenance,transmission_tower_support_structures,Transmission tower support structures,True,True,19
transmission_lines_maintenance::transmission_towers,transmission_lines_maintenance,Transmission lines maintenance,transmission_towers,Transmission towers,True,True,20
