source_workbook,business_id,reporting_period,extraction_status,metadata_match_status,manifest_local_filename,landing_page_url,source_page_url
AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,ausnet_transmission,2019-20,success,validated_manifest_match,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance
AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,ausnet_transmission,2020-21,success,validated_manifest_match,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4
AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,ausnet_transmission,2021-22,success,validated_manifest_match,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4
Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,ausnet_transmission,2022-23,success,validated_manifest_match,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,https://www.aer.gov.au/documents/ausnet-services-transmission-2022-23-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4
Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,ausnet_transmission,2023-24,success,validated_manifest_match,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,https://www.aer.gov.au/documents/ausnet-services-transmission-2023-24-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4
Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,electranet,2015-16,success,validated_manifest_match,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,https://www.aer.gov.au/documents/electranet-2015-16-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=11
Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,electranet,2016-17,success,validated_manifest_match,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,https://www.aer.gov.au/documents/electranet-2016-17-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=14
DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,electranet,2017-18,success,validated_manifest_match,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,https://www.aer.gov.au/documents/electranet-2017-18-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet
ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,electranet,2018-19,success,validated_manifest_match,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,https://www.aer.gov.au/documents/electranet-2018-19-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=2
ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,electranet,2019-20,success,validated_manifest_match,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,https://www.aer.gov.au/documents/electranet-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=1
ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,electranet,2020-21,success,validated_manifest_match,ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,https://www.aer.gov.au/documents/electranet-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=6
ElectraNet 2021-22 - Category Analysis - RIN response - 28 October 2022 - PUBLIC(14582813.1).xlsx,electranet,2021-22,success,validated_manifest_match,ElectraNet 2021-22 - Category Analysis - RIN response - 28 October 2022 - PUBLIC(14582813.1).xlsx,https://www.aer.gov.au/documents/electranet-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=21
ElectraNet 2022-23 - Category analysis - RIN responses - Consolidated - 27 October 2023 - PUBLIC(15999621.1).xlsx,electranet,2022-23,success,validated_manifest_match,ElectraNet 2022-23 - Category analysis - RIN responses - Consolidated - 27 October 2023 - PUBLIC(15999621.1).xlsx,https://www.aer.gov.au/documents/electranet-2022-23-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=8
ElectraNet 2023-24 - Category Analysis - RIN response - Consolidated - 31 October 2024 - PUBLIC(17494700.2).xlsx,electranet,2023-24,success,validated_manifest_match,ElectraNet 2023-24 - Category Analysis - RIN response - Consolidated - 31 October 2024 - PUBLIC(17494700.2).xlsx,https://www.aer.gov.au/documents/electranet-2023-24-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=23
Powerlink 2019-20 - Category Analysis - RIN Response - Consolidated - 23 October 2020 - PUBLIC (11647526.2).xlsx,powerlink,2019-20,success,validated_manifest_match,Powerlink 2019-20 - Category Analysis - RIN Response - Consolidated - 23 October 2020 - PUBLIC (11647526.2).xlsx,https://www.aer.gov.au/documents/powerlink-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=Powerlink+2019%E2%80%9320
Powerlink 2020-21 - Category Analysis - RIN Response - Consolidated - 20 October 2021 - PUBLIC(12941266.1).xlsx,powerlink,2020-21,success,validated_manifest_match,Powerlink 2020-21 - Category Analysis - RIN Response - Consolidated - 20 October 2021 - PUBLIC(12941266.1).xlsx,https://www.aer.gov.au/documents/powerlink-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/powerlink?page=11
Powerlink 2021-22 - Category analysis - Consolidated - 26 October 2022 - PUBLIC(14556313.1).xlsx,powerlink,2021-22,success,validated_manifest_match,Powerlink 2021-22 - Category analysis - Consolidated - 26 October 2022 - PUBLIC(14556313.1).xlsx,https://www.aer.gov.au/documents/powerlink-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/powerlink?page=12
Powerlink 2022-23 - Category Analysis - RIN Response - Consolidated - 27 October 2023 - PUBLIC(15996094.1).xlsx,powerlink,2022-23,success,validated_manifest_match,Powerlink 2022-23 - Category Analysis - RIN Response - Consolidated - 27 October 2023 - PUBLIC(15996094.1).xlsx,https://www.aer.gov.au/documents/powerlink-2022-23-category-analysis-rin-templates,https://www.aer.gov.au/authors/powerlink?page=12
Powerlink 2023-24 - Category Analysis - RIN Response - Consolidated - 28 October 2024 - PUBLIC(17452408.1).xlsx,powerlink,2023-24,success,validated_manifest_match,Powerlink 2023-24 - Category Analysis - RIN Response - Consolidated - 28 October 2024 - PUBLIC(17452408.1).xlsx,https://www.aer.gov.au/documents/powerlink-2023-24-category-analysis-rin-templates,https://www.aer.gov.au/authors/powerlink?page=3
Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,transgrid,2013-14,success,validated_manifest_match,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,https://www.aer.gov.au/documents/transgrid-transmission-2013-14-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t?page=3
DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,transgrid,2017-18,success,validated_manifest_match,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,https://www.aer.gov.au/documents/transgrid-2017-18-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t?page=2
Transgrid 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175594.XLSM.xlsx,transgrid,2018-19,success,validated_manifest_match,Transgrid 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175594.XLSM.xlsx,https://www.aer.gov.au/documents/transgrid-2018-19-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t?page=2
"TransGrid 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11,665,158).xlsx",transgrid,2019-20,success,validated_manifest_match,"TransGrid 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11,665,158).xlsx",https://www.aer.gov.au/documents/transgrid-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t?page=3
TransGrid 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029988.1).xlsx,transgrid,2020-21,success,validated_manifest_match,TransGrid 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029988.1).xlsx,https://www.aer.gov.au/documents/transgrid-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t
Transgrid 2021-22 - Category Analysis - RIN Response - Consolidated - 31 October 2022 - PUBLIC(14550262.2).xlsx,transgrid,2021-22,success,validated_manifest_match,Transgrid 2021-22 - Category Analysis - RIN Response - Consolidated - 31 October 2022 - PUBLIC(14550262.2).xlsx,https://www.aer.gov.au/documents/transgrid-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/search?search=Transgrid+2021%E2%80%9322
Transgrid 2022-23 - Category analysis - RIN response - Consolidated - 31 October 2023 - PUBLIC(15993699.2).xlsx,transgrid,2022-23,success,validated_manifest_match,Transgrid 2022-23 - Category analysis - RIN response - Consolidated - 31 October 2023 - PUBLIC(15993699.2).xlsx,https://www.aer.gov.au/documents/transgrid-2022-23-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t
Transgrid 2023-24 - Category Analysis - RIN Response - Consolidated - 31 October 2024 - PUBLIC(17496053.2).xlsx,transgrid,2023-24,success,validated_manifest_match,Transgrid 2023-24 - Category Analysis - RIN Response - Consolidated - 31 October 2024 - PUBLIC(17496053.2).xlsx,https://www.aer.gov.au/documents/transgrid-2023-24-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t
