reporting_period,maintenance_activity,maintenance_asset_subcategory,source_currency_unit,routine_maintenance_expenditure,non_routine_maintenance_expenditure,source_workbook,source_sheet,source_row
2020-21,Transmission lines maintenance,Transmission towers,$0's,805691.2766917964,938109.7639208642,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,50
2020-21,Transmission lines maintenance,Transmission tower support structures,$0's,249660.1924483811,104794.97872496456,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,51
2020-21,Transmission lines maintenance,Conductors,$0's,1301577.8191408718,126928.4625234925,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,52
2020-21,Transmission lines maintenance,Transmission cables,$0's,7727.256762510452,35359.77096944002,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,53
2020-21,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,2718726.328680422,2782992.6607578387,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,54
2020-21,Substations equipment & property maintenance,Substation power transformers,$0's,1804333.001472167,2396225.946977211,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,55
2020-21,Substations equipment & property maintenance,Substation property,$0's,373523.9204519498,2917832.530940347,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,56
2020-21,SCADA & network control maintenance,SCADA & network control maintenance,$0's,494177.9992198432,602762.492704215,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,57
2020-21,Protection systems maintenance,Protection systems maintenance,$0's,610452.9461243512,1055964.482481628,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,58
2020-21,Other maintenance activity ,,$0's,,,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,59
2021-22,Transmission lines maintenance,Transmission towers,$0's,1151669.7852612073,177756.19650105143,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,50
2021-22,Transmission lines maintenance,Transmission tower support structures,$0's,282416.586784404,23167.900443144543,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,51
2021-22,Transmission lines maintenance,Conductors,$0's,984155.4841027941,5306.700985895725,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,52
2021-22,Transmission lines maintenance,Transmission cables,$0's,0.0,3339.4102755443664,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,53
2021-22,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,4635055.651136602,6708283.324724818,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,54
2021-22,Substations equipment & property maintenance,Substation power transformers,$0's,1167823.426612792,2158755.4960138574,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,55
2021-22,Substations equipment & property maintenance,Substation property,$0's,908839.0131524244,3291536.1167618306,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,56
2021-22,SCADA & network control maintenance,SCADA & network control maintenance,$0's,514547.98277334135,186549.55619921073,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,57
2021-22,Protection systems maintenance,Protection systems maintenance,$0's,761087.580176445,228260.25809465014,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,58
2021-22,Other maintenance activity ,,$0's,,,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,59
2022-23,Transmission lines maintenance,Transmission towers,$0's,303350.63676480687,186151.83967390636,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,50
2022-23,Transmission lines maintenance,Transmission tower support structures,$0's,431111.26239509124,31542.373881132124,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,51
2022-23,Transmission lines maintenance,Conductors,$0's,649550.3322267368,11125.308224171335,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,52
2022-23,Transmission lines maintenance,Transmission cables,$0's,2811.911978976268,5973.351785336195,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,53
2022-23,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,5181950.527072666,8463584.843790919,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,54
2022-23,Substations equipment & property maintenance,Substation power transformers,$0's,1032729.1031327125,873400.8477039216,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,55
2022-23,Substations equipment & property maintenance,Substation property,$0's,451981.2991740275,891420.6670553482,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,56
2022-23,SCADA & network control maintenance,SCADA & network control maintenance,$0's,620701.7028938896,153568.09177399485,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,57
2022-23,Protection systems maintenance,Protection systems maintenance,$0's,651916.9743609835,1040363.1461111241,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,58
2022-23,Other maintenance activity ,,$0's,,,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,59
2023-24,Transmission lines maintenance,Transmission towers,$,767347.1720707123,2259402.663702387,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,51
2023-24,Transmission lines maintenance,Transmission tower support structures,$,221107.54327607199,29938.777759029042,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,52
2023-24,Transmission lines maintenance,Conductors,$,0.0,114.46207713950636,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,53
2023-24,Transmission lines maintenance,Transmission cables,$,124433.2806590153,6188.694593488294,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,54
2023-24,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$,2622187.4477434964,3004854.5385221564,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,55
2023-24,Substations equipment & property maintenance,Substation power transformers,$,2060587.3099249564,1138987.2617007678,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,56
2023-24,Substations equipment & property maintenance,Substation property,$,7873801.517888695,546453.2271714616,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,57
2023-24,SCADA & network control maintenance,SCADA & network control maintenance,$,972460.0689325117,607190.9563218385,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,58
2023-24,Protection systems maintenance,Protection systems maintenance,$,1242040.8695045537,1011388.4081517302,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,59
2023-24,Other maintenance activity ,,$,,,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,60
2013-14,Transmission lines maintenance,Transmission towers,$000's,4549.413082222306,5236.667338758201,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,12
2013-14,Transmission lines maintenance,Transmission tower support structures,$000's,0.0,0.0,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,13
2013-14,Transmission lines maintenance,Conductors,$000's,2.6113454210315066,614.8002147956536,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,14
2013-14,Transmission lines maintenance,Transmission cables,$000's,627.0232083342564,36.35763046855267,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,15
2013-14,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$000's,3638.4140282975704,5284.76597032921,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,16
2013-14,Substations equipment & property maintenance,Substation power transformers,$000's,1855.4837057306408,2125.1301626187756,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,17
2013-14,Substations equipment & property maintenance,Substation property,$000's,5196.232112261111,10917.712380762681,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,18
2013-14,SCADA & network control maintenance,SCADA & network control maintenance,$000's,743.3871182787794,79.72055028272796,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,19
2013-14,Protection systems maintenance,Protection systems maintenance,$000's,2382.12056033347,1045.8469953498789,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,20
