reporting_period,maintenance_activity,maintenance_asset_category,measure_asset_quantity,source_unit,asset_quantity_at_year_end,quantity_inspected_maintained,average_age_of_asset_group,inspection_cycle_years,maintenance_cycle_years,source_workbook,source_sheet,source_row
2019-20,Transmission lines maintenance,Transmission towers,Number of towers,0's,13204.0,17605.333333333332,49.79756134504696,1.0,3.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,12
2019-20,Transmission lines maintenance,Transmission tower support structures,Number of towers,0's,69527.0,46351.333333333336,49.039254685143966,3.0,3.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,13
2019-20,Transmission lines maintenance,Conductors,Route length,km,5086.8,1695.6000000000001,45.342262929327745,3.0,0.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,14
2019-20,Transmission lines maintenance,Transmission cables,Route length,km,8.54,17.08,26.126849550546442,1.0,1.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,15
2019-20,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays,0's,1133.0,2340.0,22.911931530436544,1.0,6.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,16
2019-20,Substations equipment & property maintenance,Substation power transformers,Number of transformers,0's,174.0,671.0,25.11025641025641,1.0,4.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,17
2019-20,Substations equipment & property maintenance,Substation property,Number of substation properties maintained,0's,47.0,1660.0,30.0,0.1,0.5,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,18
2019-20,SCADA & network control maintenance,SCADA & network control maintenance,Units,0's,19208.54821,9604.274105,18.424150728842253,4.0,4.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,19
2019-20,Protection systems maintenance,Protection systems maintenance,Units,0's,6556.999999999998,4371.333333333332,15.528809514029994,3.0,3.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,20
2019-20,Other maintenance activity ,,,,,0.0,,,,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,21
