source_workbook,status,reporting_period,layout_profile,descriptor_row_count,cost_row_count,warnings,error,run_complete
AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,success,2019-20,stacked_baseline,10,10,[],,True
AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,success,2020-21,stacked_baseline,10,10,[],,True
AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,success,2021-22,stacked_baseline,10,10,[],,True
Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,success,2022-23,stacked_baseline,10,10,[],,True
Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,success,2023-24,stacked_revised,10,10,[],,True
Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,success,2013-14,legacy_side_by_side,11,12,"[""descriptor_metrics: optional heading 'source_unit' was not found""]",,True
Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,success,2015-16,stacked_baseline,10,10,"[""descriptor_metrics: nonnumeric values in maintenance_cycle_years: row 12: 'Nil. Cond mon.&corr mtce'; row 13: 'Nil. Cond mon.&corr mtce'; row 14: 'Nil. Cond mon.&corr mtce'; row 15: 'Nil. Cond mon.&corr mtce'; row 19: 'Nil. Cond mon.&corr mtce'"", ""descriptor_metrics: unrecognized source units in source_unit: [\""000' KM\""]""]",,True
Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,success,2016-17,stacked_baseline,10,10,"[""descriptor_metrics: nonnumeric values in maintenance_cycle_years: row 12: 'Nil. Cond mon.&corr mtce'; row 13: 'Nil. Cond mon.&corr mtce'; row 14: 'Nil. Cond mon.&corr mtce'; row 15: 'Nil. Cond mon.&corr mtce'; row 19: 'Nil. Cond mon.&corr mtce'""]",,True
DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,success,2017-18,stacked_baseline,11,11,[],,True
DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,success,2017-18,stacked_baseline,11,11,"[""descriptor_metrics: nonnumeric values in maintenance_cycle_years: row 12: 'Nil. Cond mon.&corr mtce'; row 13: 'Nil. Cond mon.&corr mtce'; row 14: 'Nil. Cond mon.&corr mtce'; row 15: 'Nil. Cond mon.&corr mtce'; row 19: 'Nil. Cond mon.&corr mtce'""]",,True
ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,success,2018-19,stacked_baseline,10,10,"[""descriptor_metrics: nonnumeric values in maintenance_cycle_years: row 12: 'Nil. Cond mon.&corr mtce'; row 13: 'Nil. Cond mon.&corr mtce'; row 14: 'Nil. Cond mon.&corr mtce'; row 15: 'Nil. Cond mon.&corr mtce'; row 19: 'Nil. Cond mon.&corr mtce'""]",,True
ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,success,2019-20,stacked_baseline,10,10,"[""descriptor_metrics: nonnumeric values in maintenance_cycle_years: row 12: 'Nil. Cond mon.&corr mtce'; row 13: 'Nil. Cond mon.&corr mtce'; row 14: 'Nil. Cond mon.&corr mtce'; row 15: 'Nil. Cond mon.&corr mtce'; row 19: 'Nil. Cond mon.&corr mtce'""]",,True
ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,success,2020-21,stacked_baseline,10,10,"[""descriptor_metrics: nonnumeric values in maintenance_cycle_years: row 12: 'Nil. Cond mon.&corr mtce'; row 13: 'Nil. Cond mon.&corr mtce'; row 14: 'Nil. Cond mon.&corr mtce'; row 15: 'Nil. Cond mon.&corr mtce'; row 19: 'Nil. Cond mon.&corr mtce'""]",,True
ElectraNet 2021-22 - Category Analysis - RIN response - 28 October 2022 - PUBLIC(14582813.1).xlsx,success,2021-22,stacked_baseline,10,10,"[""descriptor_metrics: nonnumeric values in maintenance_cycle_years: row 12: 'Nil. Cond mon.&corr mtce'; row 13: 'Nil. Cond mon.&corr mtce'; row 14: 'Nil. Cond mon.&corr mtce'; row 15: 'Nil. Cond mon.&corr mtce'; row 19: 'Nil. Cond mon.&corr mtce'""]",,True
ElectraNet 2022-23 - Category analysis - RIN responses - Consolidated - 27 October 2023 - PUBLIC(15999621.1).xlsx,success,2022-23,stacked_baseline,10,10,"[""descriptor_metrics: nonnumeric values in maintenance_cycle_years: row 12: 'Nil. Cond mon.&corr mtce'; row 13: 'Nil. Cond mon.&corr mtce'; row 14: 'Nil. Cond mon.&corr mtce'; row 15: 'Nil. Cond mon.&corr mtce'; row 19: 'Nil. Cond mon.&corr mtce'""]",,True
ElectraNet 2023-24 - Category Analysis - RIN response - Consolidated - 31 October 2024 - PUBLIC(17494700.2).xlsx,success,2023-24,stacked_revised,10,10,[],,True
Powerlink 2019-20 - Category Analysis - RIN Response - Consolidated - 23 October 2020 - PUBLIC (11647526.2).xlsx,success,2019-20,stacked_baseline,11,11,[],,True
Powerlink 2020-21 - Category Analysis - RIN Response - Consolidated - 20 October 2021 - PUBLIC(12941266.1).xlsx,success,2020-21,stacked_baseline,11,11,[],,True
Powerlink 2021-22 - Category analysis - Consolidated - 26 October 2022 - PUBLIC(14556313.1).xlsx,success,2021-22,stacked_baseline,11,11,[],,True
Powerlink 2022-23 - Category Analysis - RIN Response - Consolidated - 27 October 2023 - PUBLIC(15996094.1).xlsx,success,2022-23,stacked_revised,11,11,[],,True
Powerlink 2023-24 - Category Analysis - RIN Response - Consolidated - 28 October 2024 - PUBLIC(17452408.1).xlsx,success,2023-24,stacked_revised,11,11,[],,True
Transgrid 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175594.XLSM.xlsx,success,2018-19,stacked_baseline,11,11,[],,True
"TransGrid 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11,665,158).xlsx",success,2019-20,stacked_baseline,11,12,[],,True
TransGrid 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029988.1).xlsx,success,2020-21,stacked_baseline,11,12,[],,True
Transgrid 2021-22 - Category Analysis - RIN Response - Consolidated - 31 October 2022 - PUBLIC(14550262.2).xlsx,success,2021-22,stacked_baseline,12,12,[],,True
Transgrid 2022-23 - Category analysis - RIN response - Consolidated - 31 October 2023 - PUBLIC(15993699.2).xlsx,success,2022-23,stacked_revised,11,12,[],,True
Transgrid 2023-24 - Category Analysis - RIN Response - Consolidated - 31 October 2024 - PUBLIC(17496053.2).xlsx,success,2023-24,stacked_revised,11,11,[],,True
