business,reporting_period,document_title,landing_page_url,source_page_url,review_status,attachment_url,download_status,local_filename,notes
Transgrid,2022-23,Transgrid 2022-23 - Category Analysis RIN - Templates,https://www.aer.gov.au/documents/transgrid-2022-23-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t,pending,,downloaded,Transgrid 2022-23 - Category analysis - RIN response - Consolidated - 31 October 2023 - PUBLIC(15993699.2).xlsx,
Transgrid,2020-21,TransGrid 2020-21 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/transgrid-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t,pending,,downloaded,TransGrid 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029988.1).xlsx,
Transgrid,2023-24,Transgrid 2023-24 - Category Analysis RIN - Templates,https://www.aer.gov.au/documents/transgrid-2023-24-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t,pending,,downloaded,Transgrid 2023-24 - Category Analysis - RIN Response - Consolidated - 31 October 2024 - PUBLIC(17496053.2).xlsx,
Transgrid,2018-19,TransGrid 2018-19 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/transgrid-2018-19-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t?page=2,pending,,downloaded,Transgrid 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175594.XLSM.xlsx,
Transgrid,2017-18,TransGrid 2017-18 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/transgrid-2017-18-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t?page=2,pending,,downloaded,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,
Transgrid,2013-14,Transgrid (transmission) 2013-14 - Category Analysis RIN - Templates,https://www.aer.gov.au/documents/transgrid-transmission-2013-14-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t?page=3,pending,,downloaded,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,
Transgrid,2019-20,TransGrid 2019-20 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/transgrid-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/authors/transgrid-t?page=3,pending,,downloaded,"TransGrid 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11,665,158).xlsx",
ElectraNet,2017-18,ElectraNet 2017-18 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/electranet-2017-18-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet,pending,,downloaded,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,
ElectraNet,2019-20,ElectraNet 2019-20 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/electranet-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=1,pending,,downloaded,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,
ElectraNet,2018-19,ElectraNet 2018-19 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/electranet-2018-19-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=2,pending,,downloaded,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,
ElectraNet,2020-21,ElectraNet 2020-21 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/electranet-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=6,pending,,downloaded,ElectraNet 2020-21 - Category Analysis - RIN Response - Consolidated - 29 October 2021 - PUBLIC(13029806.1).xlsx,
ElectraNet,2022-23,ElectraNet 2022-23 - Category analysis RIN - templates,https://www.aer.gov.au/documents/electranet-2022-23-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=8,pending,,downloaded,ElectraNet 2022-23 - Category analysis - RIN responses - Consolidated - 27 October 2023 - PUBLIC(15999621.1).xlsx,
ElectraNet,2015-16,ElectraNet 2015-16 – Category Analysis RIN - Templates,https://www.aer.gov.au/documents/electranet-2015-16-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=11,pending,,downloaded,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,
ElectraNet,2016-17,ElectraNet 2016-17 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/electranet-2016-17-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=14,pending,,downloaded,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,
ElectraNet,2021-22,ElectraNet 2021-22 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/electranet-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=21,pending,,downloaded,ElectraNet 2021-22 - Category Analysis - RIN response - 28 October 2022 - PUBLIC(14582813.1).xlsx,
ElectraNet,2023-24,ElectraNet 2023-24 - Category analysis RIN - templates,https://www.aer.gov.au/documents/electranet-2023-24-category-analysis-rin-templates,https://www.aer.gov.au/authors/electranet?page=23,pending,,downloaded,ElectraNet 2023-24 - Category Analysis - RIN response - Consolidated - 31 October 2024 - PUBLIC(17494700.2).xlsx,
Powerlink,2023-24,Powerlink 2023-24 - Category Analysis RIN - Templates,https://www.aer.gov.au/documents/powerlink-2023-24-category-analysis-rin-templates,https://www.aer.gov.au/authors/powerlink?page=3,pending,,downloaded,Powerlink 2023-24 - Category Analysis - RIN Response - Consolidated - 28 October 2024 - PUBLIC(17452408.1).xlsx,
Powerlink,2020-21,Powerlink 2020-21 – Category Analysis RIN – Templates,https://www.aer.gov.au/documents/powerlink-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/powerlink?page=11,pending,,downloaded,Powerlink 2020-21 - Category Analysis - RIN Response - Consolidated - 20 October 2021 - PUBLIC(12941266.1).xlsx,
