reporting_period,maintenance_activity,maintenance_asset_subcategory,source_currency_unit,routine_maintenance_expenditure,non_routine_maintenance_expenditure,source_workbook,source_sheet,source_row,business,landing_page_url,source_page_url,metadata_match_status,maintenance_activity_resolved,activity_resolution_status,activity_anchor_source_row,row_classification,analytic_row_eligible,maintenance_activity_standard_id,maintenance_activity_standard,maintenance_asset_standard_id,maintenance_asset_standard,activity_mapping_status,asset_mapping_status,currency_standard,price_basis,currency_scale_factor,currency_unit_status,routine_maintenance_expenditure_standard,routine_maintenance_expenditure_status,non_routine_maintenance_expenditure_standard,non_routine_maintenance_expenditure_status,total_maintenance_expenditure_standard,total_maintenance_expenditure_status,relationship_status,descriptor_source_workbook,descriptor_source_sheet,descriptor_source_row,denominator_unit_standard,installed_quantity_standard,installed_quantity_status,serviced_quantity_standard,serviced_quantity_status,installed_ratio_unit,installed_ratio_status,serviced_ratio_unit,serviced_ratio_status,routine_expenditure_per_installed_unit,non_routine_expenditure_per_installed_unit,total_expenditure_per_installed_unit,routine_expenditure_per_serviced_unit,non_routine_expenditure_per_serviced_unit,total_expenditure_per_serviced_unit
2019-20,Transmission lines maintenance,Transmission towers,$0's,1090083.3939484735,879892.3296314386,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,50,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,50,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_towers,Transmission towers,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1090083.3939484735,numeric,879892.3296314386,numeric,1969975.723579912,numeric,matched_with_denominator,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,12,count,13204.0,numeric,17605.333333333332,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,82.55705800882107,66.63831639135402,149.1953744001751,61.917793506615816,49.97873729351552,111.89653080013133
2019-20,Transmission lines maintenance,Transmission tower support structures,$0's,171111.46188830375,108906.98127797247,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,51,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,51,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_tower_support_structures,Transmission tower support structures,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,171111.46188830375,numeric,108906.98127797247,numeric,280018.4431662762,numeric,matched_with_denominator,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,13,count,69527.0,numeric,46351.333333333336,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,2.461079320095844,1.566398395989651,4.027477716085495,3.6916189801437658,2.3495975939844764,6.041216574128242
2019-20,Transmission lines maintenance,Conductors,$0's,950695.1511238446,467343.6657087683,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,52,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,52,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,conductors,Conductors,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,950695.1511238446,numeric,467343.6657087683,numeric,1418038.8168326127,numeric,matched_with_denominator,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,14,km,5086.8,numeric,1695.6,numeric,nominal_AUD_per_km,calculated,nominal_AUD_per_km,calculated,186.8945409931282,91.87380390594643,278.7683448990746,560.6836229793846,275.6214117178393,836.3050346972238
2019-20,Transmission lines maintenance,Transmission cables,$0's,123058.45782732213,24838.361656799232,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,53,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,53,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_cables,Transmission cables,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,123058.45782732213,numeric,24838.361656799232,numeric,147896.81948412137,numeric,matched_with_denominator,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,15,km,8.54,numeric,17.08,numeric,nominal_AUD_per_km,calculated,nominal_AUD_per_km,calculated,14409.65548329299,2908.473261920285,17318.12874521328,7204.827741646495,1454.2366309601425,8659.06437260664
2019-20,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,3323640.3497046656,1442763.4969652786,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,54,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Substations equipment & property maintenance,submitted,54,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_switchbays,Substation switchbays (incl. Reactive plant),mapped,mapped,AUD,nominal,1.0,standardized_source_unit,3323640.3497046656,numeric,1442763.4969652786,numeric,4766403.846669944,numeric,matched_with_denominator,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,16,count,1133.0,numeric,2340.0,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,2933.4866281594577,1273.40114471781,4206.887772877268,1420.3591238054125,616.5655969937088,2036.9247207991214
2019-20,Substations equipment & property maintenance,Substation power transformers,$0's,1895242.4356921536,2780588.9873634623,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,55,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Substations equipment & property maintenance,submitted,55,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_power_transformers,Substation power transformers,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1895242.4356921536,numeric,2780588.9873634623,numeric,4675831.423055616,numeric,matched_with_denominator,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,17,count,174.0,numeric,671.0,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,10892.197906276746,15980.396479100358,26872.594385377106,2824.50437510008,4143.947820213803,6968.452195313884
2019-20,Substations equipment & property maintenance,Substation property,$0's,1219191.6282079946,1304413.8841710165,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,56,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Substations equipment & property maintenance,submitted,56,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_property,Substation property,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1219191.6282079946,numeric,1304413.8841710165,numeric,2523605.512379011,numeric,matched_with_denominator,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,18,count,47.0,numeric,1660.0,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,25940.247408680738,27753.48689725567,53693.73430593641,734.4527880771052,785.7914964885641,1520.2442845656694
2019-20,SCADA & network control maintenance,SCADA & network control maintenance,$0's,807662.7171930161,435284.9557497263,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,57,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,SCADA & network control maintenance,submitted,57,meaningful,True,scada_network_control_maintenance,SCADA & network control maintenance,scada_network_control,SCADA & network control maintenance,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,807662.7171930161,numeric,435284.9557497263,numeric,1242947.6729427422,numeric,matched_with_denominator,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,19,count,19208.54821,numeric,9604.274105,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,42.0470463651462,22.661002330364365,64.70804869551056,84.0940927302924,45.32200466072873,129.4160973910211
2019-20,Protection systems maintenance,Protection systems maintenance,$0's,928996.7594142298,727385.8974755328,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,58,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Protection systems maintenance,submitted,58,meaningful,True,protection_systems_maintenance,Protection systems maintenance,protection_systems,Protection systems maintenance,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,928996.7594142298,numeric,727385.8974755328,numeric,1656382.6568897627,numeric,matched_with_denominator,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,20,count,6556.999999999998,numeric,4371.333333333332,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,141.6801524194342,110.93272799687861,252.61288041631283,212.5202286291513,166.39909199531792,378.91932062446926
2020-21,Transmission lines maintenance,Transmission towers,$0's,805691.2766917964,938109.7639208642,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,50,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,50,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_towers,Transmission towers,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,805691.2766917964,numeric,938109.7639208642,numeric,1743801.0406126606,numeric,matched_with_denominator,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,12,count,13206.0,numeric,14673.333333333334,numeric,nominal_AUD_per_count,calculated,nominal_AUD_per_count,calculated,61.009486346493745,71.03663213091505,132.0461184774088,54.90853771184437,63.932968917823544,118.84150662966792
