reporting_period,maintenance_activity,maintenance_asset_subcategory,source_currency_unit,routine_maintenance_expenditure,non_routine_maintenance_expenditure,source_workbook,source_sheet,source_row,business,landing_page_url,source_page_url,metadata_match_status,maintenance_activity_resolved,activity_resolution_status,activity_anchor_source_row,row_classification,analytic_row_eligible,maintenance_activity_standard_id,maintenance_activity_standard,maintenance_asset_standard_id,maintenance_asset_standard,activity_mapping_status,asset_mapping_status,currency_standard,price_basis,currency_scale_factor,currency_unit_status,routine_maintenance_expenditure_standard,routine_maintenance_expenditure_status,non_routine_maintenance_expenditure_standard,non_routine_maintenance_expenditure_status,total_maintenance_expenditure_standard,total_maintenance_expenditure_status
2019-20,Transmission lines maintenance,Transmission towers,$0's,1090083.3939484735,879892.3296314386,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,50,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,50,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_towers,Transmission towers,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1090083.3939484735,numeric,879892.3296314386,numeric,1969975.723579912,numeric
2019-20,Transmission lines maintenance,Transmission tower support structures,$0's,171111.46188830375,108906.98127797247,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,51,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,51,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_tower_support_structures,Transmission tower support structures,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,171111.46188830375,numeric,108906.98127797247,numeric,280018.4431662762,numeric
2019-20,Transmission lines maintenance,Conductors,$0's,950695.1511238446,467343.6657087683,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,52,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,52,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,conductors,Conductors,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,950695.1511238446,numeric,467343.6657087683,numeric,1418038.8168326127,numeric
2019-20,Transmission lines maintenance,Transmission cables,$0's,123058.45782732213,24838.361656799232,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,53,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,53,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_cables,Transmission cables,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,123058.45782732213,numeric,24838.361656799232,numeric,147896.81948412137,numeric
2019-20,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,3323640.3497046656,1442763.4969652786,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,54,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Substations equipment & property maintenance,submitted,54,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_switchbays,Substation switchbays (incl. Reactive plant),mapped,mapped,AUD,nominal,1.0,standardized_source_unit,3323640.3497046656,numeric,1442763.4969652786,numeric,4766403.846669944,numeric
2019-20,Substations equipment & property maintenance,Substation power transformers,$0's,1895242.4356921536,2780588.9873634623,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,55,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Substations equipment & property maintenance,submitted,55,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_power_transformers,Substation power transformers,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1895242.4356921536,numeric,2780588.9873634623,numeric,4675831.423055616,numeric
2019-20,Substations equipment & property maintenance,Substation property,$0's,1219191.6282079946,1304413.8841710165,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,56,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Substations equipment & property maintenance,submitted,56,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_property,Substation property,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1219191.6282079946,numeric,1304413.8841710165,numeric,2523605.512379011,numeric
2019-20,SCADA & network control maintenance,SCADA & network control maintenance,$0's,807662.7171930161,435284.9557497263,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,57,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,SCADA & network control maintenance,submitted,57,meaningful,True,scada_network_control_maintenance,SCADA & network control maintenance,scada_network_control,SCADA & network control maintenance,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,807662.7171930161,numeric,435284.9557497263,numeric,1242947.6729427422,numeric
2019-20,Protection systems maintenance,Protection systems maintenance,$0's,928996.7594142298,727385.8974755328,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,58,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Protection systems maintenance,submitted,58,meaningful,True,protection_systems_maintenance,Protection systems maintenance,protection_systems,Protection systems maintenance,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,928996.7594142298,numeric,727385.8974755328,numeric,1656382.6568897627,numeric
2019-20,Other maintenance activity ,,$0's,,,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,59,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Other maintenance activity ,submitted,59,empty_template_row,False,,,,,not_applicable,not_applicable,,,,not_applicable,,blank,,blank,,blank
