reporting_period,maintenance_activity,maintenance_asset_category,measure_asset_quantity,source_unit,asset_quantity_at_year_end,quantity_inspected_maintained,average_age_of_asset_group,inspection_cycle_years,maintenance_cycle_years,source_workbook,source_sheet,source_row,business,landing_page_url,source_page_url,metadata_match_status,maintenance_activity_resolved,activity_resolution_status,activity_anchor_source_row,row_classification,analytic_row_eligible,maintenance_activity_standard_id,maintenance_activity_standard,maintenance_asset_standard_id,maintenance_asset_standard,activity_mapping_status,asset_mapping_status,quantity_unit_standard,quantity_scale_factor,quantity_unit_status,asset_quantity_at_year_end_standard,asset_quantity_at_year_end_status,quantity_inspected_maintained_standard,quantity_inspected_maintained_status,average_age_of_asset_group_standard,average_age_of_asset_group_status,inspection_cycle_years_standard,inspection_cycle_years_status,maintenance_cycle_years_standard,maintenance_cycle_years_status
2019-20,Transmission lines maintenance,Transmission towers,Number of towers,0's,13204.0,17605.333333333332,49.79756134504696,1.0,3.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,12,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,12,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_towers,Transmission towers,mapped,mapped,count,1.0,standardized_source_unit,13204.0,numeric,17605.333333333332,numeric,49.79756134504696,numeric,1.0,numeric,3.0,numeric
2019-20,Transmission lines maintenance,Transmission tower support structures,Number of towers,0's,69527.0,46351.333333333336,49.039254685143966,3.0,3.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,13,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,13,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_tower_support_structures,Transmission tower support structures,mapped,mapped,count,1.0,standardized_source_unit,69527.0,numeric,46351.333333333336,numeric,49.039254685143966,numeric,3.0,numeric,3.0,numeric
2019-20,Transmission lines maintenance,Conductors,Route length,km,5086.8,1695.6,45.34226292932775,3.0,0.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,14,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,14,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,conductors,Conductors,mapped,mapped,km,1.0,standardized_source_unit,5086.8,numeric,1695.6,numeric,45.34226292932775,numeric,3.0,numeric,0.0,numeric
2019-20,Transmission lines maintenance,Transmission cables,Route length,km,8.54,17.08,26.12684955054644,1.0,1.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,15,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Transmission lines maintenance,submitted,15,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_cables,Transmission cables,mapped,mapped,km,1.0,standardized_source_unit,8.54,numeric,17.08,numeric,26.12684955054644,numeric,1.0,numeric,1.0,numeric
2019-20,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays,0's,1133.0,2340.0,22.911931530436544,1.0,6.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,16,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Substations equipment & property maintenance,submitted,16,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_switchbays,Substation switchbays (incl. Reactive plant),mapped,mapped,count,1.0,standardized_source_unit,1133.0,numeric,2340.0,numeric,22.911931530436544,numeric,1.0,numeric,6.0,numeric
2019-20,Substations equipment & property maintenance,Substation power transformers,Number of transformers,0's,174.0,671.0,25.11025641025641,1.0,4.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,17,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Substations equipment & property maintenance,submitted,17,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_power_transformers,Substation power transformers,mapped,mapped,count,1.0,standardized_source_unit,174.0,numeric,671.0,numeric,25.11025641025641,numeric,1.0,numeric,4.0,numeric
2019-20,Substations equipment & property maintenance,Substation property,Number of substation properties maintained,0's,47.0,1660.0,30.0,0.1,0.5,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,18,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Substations equipment & property maintenance,submitted,18,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_property,Substation property,mapped,mapped,count,1.0,standardized_source_unit,47.0,numeric,1660.0,numeric,30.0,numeric,0.1,numeric,0.5,numeric
2019-20,SCADA & network control maintenance,SCADA & network control maintenance,Units,0's,19208.54821,9604.274105,18.424150728842253,4.0,4.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,19,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,SCADA & network control maintenance,submitted,19,meaningful,True,scada_network_control_maintenance,SCADA & network control maintenance,scada_network_control,SCADA & network control maintenance,mapped,mapped,count,1.0,standardized_source_unit,19208.54821,numeric,9604.274105,numeric,18.424150728842253,numeric,4.0,numeric,4.0,numeric
2019-20,Protection systems maintenance,Protection systems maintenance,Units,0's,6556.999999999998,4371.333333333332,15.528809514029994,3.0,3.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,20,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Protection systems maintenance,submitted,20,meaningful,True,protection_systems_maintenance,Protection systems maintenance,protection_systems,Protection systems maintenance,mapped,mapped,count,1.0,standardized_source_unit,6556.999999999998,numeric,4371.333333333332,numeric,15.528809514029994,numeric,3.0,numeric,3.0,numeric
2019-20,Other maintenance activity ,,,,,0.0,,,,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,21,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2019-20-category-analysis-rin-templates,https://www.aer.gov.au/search?search=AusNet+Transmission+2019%E2%80%9320&sort_by=relevance,validated_manifest_match,Other maintenance activity ,submitted,21,meaningful,True,,,,,unresolved_missing,unresolved_missing,,,missing_unit,,blank,,numeric,,blank,,blank,,blank
2020-21,Transmission lines maintenance,Transmission towers,Number of towers,0's,13206.0,14673.333333333334,50.790549750113584,1.0,9.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,12,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,12,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_towers,Transmission towers,mapped,mapped,count,1.0,standardized_source_unit,13206.0,numeric,14673.333333333334,numeric,50.790549750113584,numeric,1.0,numeric,9.0,numeric
2020-21,Transmission lines maintenance,Transmission tower support structures,Number of towers,0's,69605.0,46403.333333333336,50.0462538610732,3.0,3.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,13,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,13,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_tower_support_structures,Transmission tower support structures,mapped,mapped,count,1.0,standardized_source_unit,69605.0,numeric,46403.333333333336,numeric,50.0462538610732,numeric,3.0,numeric,3.0,numeric
2020-21,Transmission lines maintenance,Conductors,Route length,km,5024.7,1674.9,40.18905270513225,3.0,0.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,14,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,14,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,conductors,Conductors,mapped,mapped,km,1.0,standardized_source_unit,5024.7,numeric,1674.9,numeric,40.18905270513225,numeric,3.0,numeric,0.0,numeric
2020-21,Transmission lines maintenance,Transmission cables,Route length,km,8.542370333333334,17.08474066666667,27.134999999999994,1.0,1.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,15,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,15,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_cables,Transmission cables,mapped,mapped,km,1.0,standardized_source_unit,8.542370333333334,numeric,17.08474066666667,numeric,27.134999999999994,numeric,1.0,numeric,1.0,numeric
2020-21,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays,0's,1158.0,2173.0,22.467680061379117,1.0,6.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,16,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2020-21-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Substations equipment & property maintenance,submitted,16,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_switchbays,Substation switchbays (incl. Reactive plant),mapped,mapped,count,1.0,standardized_source_unit,1158.0,numeric,2173.0,numeric,22.467680061379117,numeric,1.0,numeric,6.0,numeric
